Date,Sum,AA,AAME,AAWW,ABG,ACH,ACLS,ACM,ADC,ADM,ADUS,AE,AEE,AEG,AEIS,AEP,AER,AGYS,ARI,AVNW,BAC,CCM,CCRN,CENT,ERII,ETN,HTH,IDA,IEP,IMOS,INDB,INFI,MT,NBR,NBTB,NC,REG,RELL,SRT,STC,TNK
10/28/2016,194870.73,1628.451873,8444.581351,2731.065334,9358.237165,737.5739967,4605.263158,2257.209218,7531.257241,4442.597493,6480.02103,4637.879186,6179.150782,1929.590786,7168.822966,5967.943741,9697.906755,2365.284974,4565.414066,241.0514487,2550.107839,2062.413141,3399.298597,5913.793103,3236.130868,5670.059227,5156.117556,7243.703636,4061.297051,14614.16987,7506.526713,423.6577181,401.3892933,1161.260342,5234.222236,13302.74798,6339.581655,2418.432015,2042.910448,10227.26762,936.3372735
11/4/2016,209672.24,1969.942466,7439.274442,2949.293955,10411.87701,846.6407899,5263.157895,2669.042218,6937.847656,4231.848651,8661.935068,4826.451189,6019.226413,2321.820672,7640.172176,5666.321933,9947.668887,2689.119171,4589.944217,238.5346703,2902.913566,2129.717998,3329.158317,6411.330296,3730.440967,6584.304135,5563.290452,7271.394769,4386.892548,17725.10841,8472.153761,536.9127517,427.9075992,1283.979058,5997.48013,14625.19526,6218.247066,2382.414224,2437.810945,10884.93977,1050.524881
11/11/2016,218171.05,2156.105505,7740.865893,3238.125783,11178.16054,861.5492004,5715.460526,3083.360911,7031.028941,4027.656507,8530.494479,5071.085666,6108.632927,2308.29562,8330.253259,5635.431026,10699.33397,2782.38342,4658.086055,305.0894786,3107.170113,2124.910509,3739.97996,7290.640394,4118.065434,6209.565786,5754.05507,7252.079776,4950.151794,18359.85741,9127.653124,507.5503356,430.3182784,1380.328006,6174.721563,15303.81571,5964.625535,2466.640769,2618.159204,10708.60467,1120.758037
11/18/2016,224183.36,2133.088851,7841.398449,3292.682778,11417.62414,852.9180154,5715.460526,3115.677755,7223.927321,4080.406692,8819.663249,5173.0178,6179.150782,2308.29562,8518.17572,5631.599914,10442.43625,2748.704663,4663.537145,363.2550254,3181.44574,2124.910509,3742.48497,7268.472906,4167.852063,6372.496482,5973.982904,7403.709209,5152.1624,19797.03098,9437.780809,511.7449664,455.6311613,1474.648648,6310.448341,16974.27354,6127.863274,2398.457937,2490.671642,11170.88421,1125.389354
11/25/2016,219434.61,1955.049257,7559.911437,3193.196324,11226.05326,902.3511662,5263.157895,3038.614434,7191.232246,4180.411395,8885.383544,5106.762961,6159.002634,2303.787082,8025.261811,5568.410459,10280.6853,2593.264249,4655.359768,353.7471957,3326.900411,2163.370427,3669.839679,6990.147537,3701.991465,6483.670945,6056.453837,7320.651959,5136.072519,19521.57165,9155.84893,499.1610738,462.2607378,1671.40398,6197.0775,15817.13549,6020.339873,2398.457937,2633.706468,10710.98839,1055.920876
12/2/2016,227774.88,2119.549731,7740.865893,3337.612238,12250.95805,907.8437385,5653.782895,3325.32346,7338.360688,4337.023495,8937.960042,5494.090711,6273.593341,2560.76476,8513.555145,5761.811321,10592.29282,2642.487047,4867.958205,382.550327,3564.44893,2192.215366,3790.08016,7948.275862,3833.570413,6611.141389,6301.757378,7637.429884,5549.031696,18335.90695,9910.024539,570.4697987,519.5159757,1693.716175,6648.395155,16366.99365,6209.654131,2290.166314,2795.39801,10708.60467,1259.694931
12/9/2016,224518.01,2016.652376,8142.9899,3331.193881,11934.86571,825.4551538,5694.901316,3162.08161,7078.434201,4315.324732,9187.697424,5187.867508,6492.301737,2466.088833,8333.333488,5946.59426,10166.50856,2748.704663,4532.706538,388.7024522,3597.063795,2172.985407,3692.38477,7965.517241,4242.532006,6506.67341,6208.711973,7698.274343,5465.904028,17413.72264,10001.65597,486.5771812,476.1224562,1614.608517,6646.78704,15878.42736,6110.402878,2458.619404,2786.069652,10003.27845,1139.283114
12/16/2016,225140.21,2013.944539,7378.95698,3379.332519,11973.18008,787.0071476,5756.578947,3124.793046,7300.759851,4262.491647,9082.544427,5228.868732,6658.739512,2497.647475,8626.001853,6054.783814,10045.19505,2756.476684,4630.829122,387.863526,3500.76922,2172.985407,3825.150301,8435.960591,3851.351351,6523.925891,6280.611871,7814.168225,5568.696906,17305.93142,9804.299141,549.4966443,444.782771,1673.388051,6743.164126,15738.83895,6187.597809,2454.608475,2717.661692,10503.22843,1097.602026
12/23/2016,225330.51,1955.726403,7901.71591,3347.240094,11858.23793,780.7299221,5941.611842,3013.755502,7451.218407,4279.474175,9292.849106,5209.648892,6677.796828,2466.088833,8544.362235,6058.614464,9888.201713,2727.979275,4546.33451,371.923929,3416.900376,2182.600387,3815.130261,8167.487685,3698.435277,6479.839014,6289.069066,7801.612481,5381.881271,16802.9241,9986.315246,583.0536913,442.974699,1655.066251,6730.315053,16096.53725,6249.171187,2490.705847,2646.144279,11031.02379,1069.814571
12/30/2016,228093.52,2074.870647,7740.865893,3283.055243,12030.65115,845.8561367,5900.493421,3113.191978,7778.419205,4318.154914,9384.858307,5240.399922,6695.584958,2551.747684,8616.758378,6049.99654,10392.48311,2753.88601,4784.753481,378.6353383,3522.514076,2211.445326,3827.655311,8312.807882,3936.699858,6454.918934,6291.184968,7732.076085,5555.288882,18060.44911,9887.23091,608.2214765,468.8902725,1797.56915,6661.244787,15311.3396,6446.754778,2474.662625,2683.457711,10798.3149,1116.127039
1/6/2017,225845.18,2236.663215,7740.865893,3327.984382,12193.48697,865.4724664,6599.506168,2943.321529,7586.72423,4098.331916,8964.247634,4998.239579,6601.566538,2466.088833,8840.111448,6059.571088,10195.05257,2746.11399,4748.335173,383.1096111,3559.787639,2182.600387,3637.274549,7854.679557,3726.88478,6536.383678,6143.157491,7638.392415,5495.401394,19090.42166,9703.218841,604.0268456,476.1224562,1783.318848,6579.324143,14229.51144,6341.070333,2522.791799,2627.487562,10467.24117,1051.28975
