Date,AA,AAWW,ABG,ACH,ACLS,ACM,ADC,ADM,ADUS,AEE,AEG,AEIS,AEP,AER,AGYS,BAC,CCM,CENT,ERII,ETN,HTH,IDA,IEP,IMOS,INDB,INFI,MT,NBR,NBTB,NC,REG,RELL,SRT,STC,TNK,Total
3/26/2021,2534.156168,3908.303272,2979.745241,2348.726583,3458.643158,2770.961866,2865.700648,2676.673861,1688.446562,2820.217923,2840.837092,2851.858816,2834.857543,3316.565937,3286.451192,3046.316661,1959.760559,2778.322345,2503.553684,3389.720741,2833.028957,3143.609324,3234.763138,2935.417482,3337.159518,2957.81104,2716.051253,2173.435531,3301.097605,3984.130049,3072.087408,3272.150055,2562.186493,3573.343308,4280.832406,104236.9234
4/2/2021,2563.462101,3872.359938,2977.555862,2474.039696,3928.5675,2710.353122,3072.316719,2580.126098,1757.546688,2801.024669,2857.14,2698.703252,2791.294773,3512.297697,3381.195731,3149.322978,1991.603142,2814.916256,2515.746316,3498.476415,2804.095706,3135.553042,3072.319034,3365.945334,3304.589973,2933.841745,2735.767146,2186.541885,3454.300315,4316.857772,3111.452328,3675.779766,2718.547388,3729.372925,4023.783473,106516.7968
4/9/2021,2466.922867,4318.352365,3071.699172,2542.066818,4342.100921,2793.690276,2929.941579,2605.871201,1718.490095,2841.541672,3003.869382,2980.368503,2775.677269,3697.155471,3422.646466,3289.479748,2092.920202,3079.518384,2475.104211,3580.043831,2789.62908,3173.14646,3107.631891,3835.613629,3472.872654,3154.359262,2729.79285,2190.910724,3580.043363,4561.571975,3204.123522,3844.286442,2558.632836,3772.856912,4089.694086,110092.6261
4/16/2021,2387.623549,4249.399639,3273.122069,2348.726583,4436.085789,2910.172829,3057.328568,2616.905861,1685.442208,2840.474998,2881.595966,3068.389116,2792.938589,3648.222531,3511.469472,3130.749133,2046.604067,3192.115034,2519.810526,3508.727706,2869.195521,3220.587897,3076.555477,4461.835185,3790.438702,3168.740839,2524.864097,2379.85718,3711.567023,4646.90041,3268.91085,4581.00974,2569.293806,3578.459539,4228.103814,112182.2243
4/23/2021,2365.210974,4159.907635,3675.968081,2204.616515,4605.258553,2894.0735,3134.760853,2585.643113,1472.133123,2810.620709,2893.822345,2851.858816,2781.432009,3805.895338,3419.685699,3090.220504,2150.815508,3279.377438,2507.617895,3521.654272,2861.961685,3275.188465,3185.323744,7279.836444,3726.653258,3240.648725,2398.202731,2372.21238,3752.033859,5157.261144,3440.312013,4514.392258,2501.774328,3110.368462,4274.240632,115300.983
4/30/2021,2058.354984,3870.892784,3036.669103,1919.976637,4097.740263,2650.691023,2979.895587,2363.123043,1547.241956,2629.358606,2433.256688,2276.205905,2644.991068,3346.469401,2427.828808,2749.115204,2040.814207,2966.921734,2190.609474,3175.327951,2734.174205,3030.825738,2854.783936,6223.085334,3337.159518,3135.183826,2060.040775,2111.181129,3340.121258,4207.915834,3251.688883,4247.916154,2157.069627,2762.498793,3700.826908,102559.9563
5/7/2021,2211.88668,3972.121508,3233.713241,2007.695844,4492.476711,2645.009158,3253.408118,2496.451327,1751.537981,2694.39854,2579.985428,2373.027782,2771.935916,3678.125994,2226.496663,2848.74532,1942.392077,2910.623409,1812.637895,3417.400129,2719.707317,3161.843391,2577.922427,6966.724815,3582.798791,3729.622349,2089.315497,2199.648084,3624.845924,5620.929542,3291.873731,4278.897569,1901.206343,2880.160336,4102.875671,108048.4415
5/14/2021,1912.936381,3436.63671,2651.338345,1649.658324,3627.815921,2359.957961,2713.879219,2333.699131,1826.646814,2573.914207,2351.740222,2038.550871,2608.782538,2971.31686,2022.203751,2583.627448,1817.916675,2710.764355,1621.62,3032.851918,2608.797567,2937.995544,2245.970539,6418.779038,3253.018361,3068.069799,1741.594712,1886.192822,3238.949376,4906.104495,2899.866832,3803.900285,1648.896716,2703.667704,3460.256719,95667.91816
5/21/2021,2042.538867,3852.554273,2931.578897,1935.193244,3740.597763,2430.03705,3014.865388,2351.276953,1880.725174,2602.703836,2392.498455,2205.789238,2662.889181,3207.82607,2090.301389,2732.22788,1849.759258,2882.474246,1507.822105,3162.979915,2628.085878,2960.561438,2401.043277,6497.05652,3367.016815,3437.196946,1878.413355,2008.516508,3243.284249,5060.661606,3080.55657,3819.603487,1645.34306,2795.750318,3795.77841,100095.5076
5/28/2021,1964.777143,3885.563666,2931.578897,1803.614389,3552.628026,2394.997506,3048.58722,2360.523365,1832.655521,2650.684705,2351.740222,2288.52849,2677.040005,3338.313911,2161.359793,2669.748613,1812.127364,2865.584749,1381.831579,3214.580696,2534.053596,3014.717917,2802.876275,6771.029408,3320.87502,3465.960101,1751.697399,2248.796446,3261.561085,4731.384319,3006.676708,3780.346886,1503.196791,2857.14,3908.019406,100144.7972
6/4/2021,1944.040714,3672.836871,2714.830345,1758.85961,3045.109737,2319.236362,3112.280482,2347.579094,1730.507508,2585.642588,2253.920848,2205.789238,2720.326058,3167.04862,2060.69372,2612.337005,1748.442198,2679.800276,1328.996842,3179.581595,2497.887555,2955.145726,2773.00579,5988.251186,3239.447396,3034.512785,1731.85284,2311.05038,3069.018653,4294.093683,3043.201851,3403.490822,1602.699179,2493.921956,3836.592789,95462.0323
6/11/2021,1931.944813,3911.237507,2837.435586,1789.292824,3552.628026,2399.732536,3184.716021,2543.595868,1694.455268,2769.583214,2510.697266,2469.850367,2830.203472,3292.099467,2205.771295,2673.168068,1736.863026,2865.584749,1621.62,3329.450678,2565.397951,3145.595486,2841.281593,6340.503259,3443.016091,3039.306644,1841.296564,2323.064018,3178.419403,5253.435486,3174.359764,3627.248672,1616.913806,2437.648823,4044.068331,101021.4859
6/18/2021,1919.848368,3741.05613,2469.619862,1802.719168,3233.079474,2247.263318,2946.175379,2446.511946,1757.546688,2624.386389,2384.34668,2381.830109,2723.654841,3033.842284,2152.477492,2537.989288,1661.599239,2730.468768,1528.143158,3114.966972,2432.788524,3018.328049,2814.967153,6183.946593,3369.730347,2924.254027,1800.405281,2112.273065,3029.63463,5207.545647,2967.66065,3576.215372,1552.947985,2309.755455,3887.612435,96625.59077
6/25/2021,1736.67689,3481.382749,2248.492552,1680.091449,2988.718816,2085.32404,2827.52881,2381.789709,1727.503155,2556.122422,2205.01084,2110.727578,2682.034499,2821.799543,2034.046819,2369.015714,1832.390776,2654.46603,1589.106316,2896.892287,2432.788524,2958.755859,2632.187588,5557.725036,3374.866493,2837.964564,1642.855055,1924.419169,2978.58204,4711.948485,2838.99288,3383.862241,1417.90903,2296.966627,3686.939968,91585.88455
7/2/2021,1852.455557,3683.106364,2261.628828,1713.209878,2969.921842,2198.965613,2898.348485,2469.627724,1562.263722,2687.232698,2388.422567,2313.174544,2894.299235,2941.413397,2223.535896,2510.953019,1760.021369,2741.728433,1682.583158,2986.185655,2490.65398,3121.226833,2567.466803,5870.834964,3413.140439,2842.758423,1785.973345,1964.829542,3102.567754,4804.805325,2826.540878,3533.033954,1517.411418,2102.5683,3945.432902,94628.32284
7/9/2021,1873.191598,4167.243186,2417.074759,1733.797184,3007.515789,2297.455072,2954.454886,2484.421177,1598.315962,2717.572388,2388.422567,2415.277959,2936.752894,3226.855547,2190.967461,2600.509044,1635.545966,2798.026759,1487.501053,3093.877196,2505.120344,3217.805577,2748.113686,5831.696223,3366.664959,2684.561074,1795.595303,1945.170168,3141.952415,4734.62558,2888.799858,3748.941606,1524.518731,2258.59887,4105.289972,96522.23281
7/16/2021,1869.735526,4216.390321,2594.414483,1912.816034,3157.891579,2326.812657,2916.199773,2538.048829,1463.120063,2716.489092,2339.513201,2992.691619,2979.206554,3327.439924,2149.516725,2308.185046,1592.124761,2792.396926,1576.913684,3354.130552,2507.53171,3199.75235,2670.591471,5088.058444,3152.062995,2742.087383,1938.713402,1976.843492,3102.567754,4939.772162,2952.719148,3760.717744,1513.857761,2284.176845,4322.97049,97276.4605
